1
2
3
4
5
6
7
8
9
13
14
15
16
17
18
(1, 2)
(1, 3)
(1, 4)
(1, 5)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(1, 13)
(1, 14)
(1, 15)
(1, 16)
(1, 17)
(1, 18)
(2, 3)
(2, 4)
(2, 5)
(2, 6)
(2, 7)
(2, 8)
(3, 4)
(3, 5)
(3, 6)
(3, 7)
(3, 8)
(4, 5)
(4, 6)
(4, 7)
(4, 8)
(5, 6)
(5, 7)
(13, 2)
(13, 14)
(14, 2)
(14, 3)
(14, 4)
(14, 5)
(14, 6)
(14, 7)
(14, 8)
(14, 15)
(14, 16)
(14, 17)
(14, 18)
(15, 2)
(15, 3)
(15, 4)
(15, 5)
(15, 6)
(15, 7)
(15, 16)
(15, 17)
(16, 2)
(16, 3)
(16, 4)
(16, 5)
(16, 6)
(17, 2)
(17, 3)
(17, 4)
(17, 5)
(18, 2)
